RxCUI,TTY,RxNorm Description,Related BN,Related SCDC,Related DF
211699,SBD,PAROXETINE HYDROCHLORIDE 10 MG ORAL TABLET [PAXIL],PAXIL,PAROXETINE HYDROCHLORIDE 10 MG,ORAL TABLET
1738803,SCD,24 HR PAROXETINE HYDROCHLORIDE 12.5 MG EXTENDED RELEASE ORAL TABLET,,PAROXETINE HYDROCHLORIDE 12.5 MG,EXTENDED RELEASE ORAL TABLET
1738804,SBD,24 HR PAROXETINE HYDROCHLORIDE 12.5 MG EXTENDED RELEASE ORAL TABLET [PAXIL],PAXIL,PAROXETINE HYDROCHLORIDE 12.5 MG,EXTENDED RELEASE ORAL TABLET
312242,SCD,PAROXETINE HYDROCHLORIDE 2 MG/ML ORAL SUSPENSION,,PAROXETINE HYDROCHLORIDE 2 MG/ML,ORAL SUSPENSION
1738495,SCD,PAROXETINE HYDROCHLORIDE 20 MG ORAL TABLET,,PAROXETINE HYDROCHLORIDE 20 MG,ORAL TABLET
207349,SBD,PAROXETINE HYDROCHLORIDE 20 MG ORAL TABLET [PAXIL],PAXIL,PAROXETINE HYDROCHLORIDE 20 MG,ORAL TABLET
1738806,SBD,24 HR PAROXETINE HYDROCHLORIDE 25 MG EXTENDED RELEASE ORAL TABLET [PAXIL],PAXIL,PAROXETINE HYDROCHLORIDE 25 MG,EXTENDED RELEASE ORAL TABLET
1738805,SCD,24 HR PAROXETINE HYDROCHLORIDE 25 MG EXTENDED RELEASE ORAL TABLET,,PAROXETINE HYDROCHLORIDE 25 MG,EXTENDED RELEASE ORAL TABLET
1738503,SCD,PAROXETINE HYDROCHLORIDE 30 MG ORAL TABLET,,PAROXETINE HYDROCHLORIDE 30 MG,ORAL TABLET
207350,SBD,PAROXETINE HYDROCHLORIDE 30 MG ORAL TABLET [PAXIL],PAXIL,PAROXETINE HYDROCHLORIDE 30 MG,ORAL TABLET
1738807,SCD,24 HR PAROXETINE HYDROCHLORIDE 37.5 MG EXTENDED RELEASE ORAL TABLET,,PAROXETINE HYDROCHLORIDE 37.5 MG,EXTENDED RELEASE ORAL TABLET
1738808,SBD,24 HR PAROXETINE HYDROCHLORIDE 37.5 MG EXTENDED RELEASE ORAL TABLET [PAXIL],PAXIL,PAROXETINE HYDROCHLORIDE 37.5 MG,EXTENDED RELEASE ORAL TABLET
1738511,SCD,PAROXETINE HYDROCHLORIDE 40 MG ORAL TABLET,,PAROXETINE HYDROCHLORIDE 40 MG,ORAL TABLET
211700,SBD,PAROXETINE HYDROCHLORIDE 40 MG ORAL TABLET [PAXIL],PAXIL,PAROXETINE HYDROCHLORIDE 40 MG,ORAL TABLET
1430122,SCD,PAROXETINE MESYLATE 7.5 MG ORAL CAPSULE,,PAROXETINE MESYLATE 7.5 MG,ORAL CAPSULE
1364114,SBD,1 ML PASIREOTIDE 0.3 MG/ML INJECTION [SIGNIFOR],SIGNIFOR,PASIREOTIDE 0.3 MG/ML,INJECTION
1364118,SBD,1 ML PASIREOTIDE 0.6 MG/ML INJECTION [SIGNIFOR],SIGNIFOR,PASIREOTIDE 0.6 MG/ML,INJECTION
1364122,SBD,1 ML PASIREOTIDE 0.9 MG/ML INJECTION [SIGNIFOR],SIGNIFOR,PASIREOTIDE 0.9 MG/ML,INJECTION
2692052,SBD,PATIROMER 1000 MG POWDER FOR ORAL SUSPENSION [VELTASSA],VELTASSA,PATIROMER 1000 MG,POWDER FOR ORAL SUSPENSION
1716219,SBD,PATIROMER 16800 MG POWDER FOR ORAL SUSPENSION [VELTASSA],VELTASSA,PATIROMER 16800 MG,POWDER FOR ORAL SUSPENSION
1716223,SBD,PATIROMER 25200 MG POWDER FOR ORAL SUSPENSION [VELTASSA],VELTASSA,PATIROMER 25200 MG,POWDER FOR ORAL SUSPENSION
1716215,SBD,PATIROMER 8400 MG POWDER FOR ORAL SUSPENSION [VELTASSA],VELTASSA,PATIROMER 8400 MG,POWDER FOR ORAL SUSPENSION
